1;5;9;rejected;2020-10-30T17:08:28.769852200
2;8;10;rejected;2020-10-30T17:08:28.769852200
3;12;13;approved;2020-10-30T17:08:28.769852200
4;14;15;approved;2020-10-30T17:08:28.769852200
5;2;4;rejected;2020-12-01T21:49:59.059047900
6;3;1;approved;2020-12-03T15:53:32.993291600
7;2;5;approved;2020-12-01T21:54:20.533332500
8;5;11;approved;2020-12-02T12:21:49.428617500
9;11;2;pending;2020-12-02T12:22:35.143228400
10;1;10;rejected;2020-12-03T15:54:08.938979600
11;15;13;approved;2020-12-03T15:58:10.345742400
